+,*,0,1,2,3,4,5,6,7,8,9,#,$
s2,s3,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,,
,,,,,,,,,,,,,accept
s2,s3,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,,
s2,s3,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,,
,,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,
r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4
r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5
r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6
r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7
r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8
r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9
r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10
r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11
r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12
r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13
r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15
s2,s3,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,,
s2,s3,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,,
r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3
r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1
r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2
,,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,
r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14
